# _tick,_time,step,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss
0,1610449974.770592,0,1308.1201171875,nan,1198.0859375,144.8018798828125,-34.76774978637695
1,1610449982.596026,1600,2909.42919921875,nan,2298.60546875,645.6508178710938,-34.82725524902344
2,1610449993.7596316,3200,349.71185302734375,170.0,-27.56524658203125,411.84417724609375,-34.56706619262695
3,1610450008.4867976,4800,3525.351318359375,241.4285888671875,2044.521728515625,1515.143798828125,-34.3141975402832
4,1610450024.628726,6400,2971.904296875,nan,2270.38330078125,735.0203857421875,-33.499542236328125
5,1610450040.8746755,8000,1773.379150390625,220.0,817.6175537109375,988.8598022460938,-33.09811019897461
6,1610450057.0181046,9600,87.0400390625,332.0,-799.0950927734375,919.6650390625,-33.529911041259766
7,1610450073.4142966,11200,5080.57373046875,696.6666870117188,3267.62744140625,1845.1083984375,-32.162200927734375
8,1610450090.1886077,12800,2754.945068359375,230.0,1761.1092529296875,1026.9423828125,-33.10672378540039
9,1610450106.5605602,14400,2040.510498046875,405.0,732.2969970703125,1341.13916015625,-32.92548751831055
10,1610450123.6459548,16000,1451.07470703125,1203.3333740234375,153.32611083984375,1329.927734375,-32.17920684814453
11,1610450139.761785,17600,1896.8277587890625,nan,756.9859619140625,1171.3773193359375,-31.53553581237793
12,1610450155.6383963,19200,-490.69940185546875,654.0,-1334.9765625,875.8812255859375,-31.604076385498047
13,1610450171.6515832,20800,2020.9013671875,130.0,646.7288818359375,1406.038330078125,-31.86572265625
14,1610450187.8241599,22400,3025.140869140625,345.0,1668.075927734375,1389.109130859375,-32.04416275024414
15,1610450204.1058896,24000,412.696533203125,490.0,-558.429931640625,1003.3931274414062,-32.266658782958984
16,1610450220.2651615,25600,3019.203857421875,550.0,1600.823974609375,1450.7137451171875,-32.33376693725586
17,1610450236.7745206,27200,1356.251220703125,nan,519.2288818359375,869.1862182617188,-32.16376495361328
18,1610450253.0639582,28800,-986.91796875,556.6666870117188,-1569.6800537109375,615.0988159179688,-32.336708068847656
19,1610450269.4897714,30400,2418.224609375,363.3333435058594,1154.497314453125,1295.8717041015625,-32.14455795288086
20,1610450285.893189,32000,2130.419189453125,570.0,395.9605407714844,1766.354248046875,-31.895551681518555
21,1610450302.1654632,33600,2841.979248046875,nan,1705.7716064453125,1167.8134765625,-31.605751037597656
22,1610450318.5653856,35200,-1050.0107421875,412.5,-1754.038818359375,735.4852905273438,-31.457197189331055
23,1610450334.9989734,36800,1920.0927734375,300.0,811.9852905273438,1139.6043701171875,-31.496801376342773
24,1610450351.522846,38400,3628.847900390625,643.3333740234375,2089.258544921875,1571.27490234375,-31.685611724853516
25,1610450368.1956475,40000,3589.957275390625,303.3333435058594,1803.7418212890625,1817.77001953125,-31.55448341369629
26,1610450385.7374442,41600,3880.832763671875,686.6666870117188,2054.3564453125,1857.8719482421875,-31.395639419555664
27,1610450401.9832764,43200,322.2732238769531,406.66668701171875,-421.07476806640625,774.447021484375,-31.099042892456055
28,1610450419.352779,44800,5131.2705078125,nan,2722.62353515625,2439.35791015625,-30.71108055114746
29,1610450435.877118,46400,-8.120065689086914,484.0,-1214.226806640625,1236.472412109375,-30.365671157836914
30,1610450453.0143056,48000,3479.581298828125,330.0,1913.530517578125,1596.17919921875,-30.128385543823242
31,1610450469.6269672,49600,995.9575805664062,nan,-69.39028930664062,1095.137939453125,-29.790096282958984
32,1610450486.388306,51200,3544.23779296875,490.0,1048.1629638671875,2526.236083984375,-30.161083221435547
33,1610450502.5473917,52800,2895.840576171875,423.3333435058594,868.732666015625,2057.216796875,-30.108943939208984
34,1610450518.7739933,54400,2322.340087890625,920.0,1035.502197265625,1316.2125244140625,-29.374835968017578
35,1610450535.1700048,56000,1890.1451416015625,nan,785.77587890625,1133.741455078125,-29.372230529785156
36,1610450551.552341,57600,-456.7440185546875,832.5,-1578.4617919921875,1151.442138671875,-29.724374771118164
37,1610450567.699784,59200,4959.6708984375,567.5,2228.186767578125,2761.013671875,-29.52953338623047
38,1610450584.0952072,60800,2882.4736328125,520.0,1169.6142578125,1742.066162109375,-29.206806182861328
39,1610450600.430368,62400,3270.3818359375,450.0,1457.122802734375,1841.7523193359375,-28.493085861206055
40,1610450616.814281,64000,466.05548095703125,675.0,-225.74404907226562,719.7955322265625,-27.996017456054688
41,1610450633.3574383,65600,2927.01904296875,781.6666870117188,759.3157348632812,2194.42626953125,-26.722782135009766
42,1610450650.185978,67200,4874.79248046875,455.0,2568.072265625,2333.497314453125,-26.776952743530273
43,1610450666.6985257,68800,4032.6572265625,nan,2018.5775146484375,2040.833984375,-26.75429344177246
44,1610450684.1501348,70400,-1681.44140625,346.66668701171875,-2527.163818359375,872.6555786132812,-26.933080673217773
45,1610450701.9197724,72000,4520.078125,506.66668701171875,1632.025146484375,2914.69091796875,-26.637617111206055
46,1610450719.5071921,73600,4975.90966796875,667.5,2000.5078125,3002.08642578125,-26.68450164794922
47,1610450737.0225472,75200,1703.0489501953125,nan,397.31451416015625,1332.6708984375,-26.936445236206055
48,1610450754.8132508,76800,542.9945068359375,640.0,-761.1590576171875,1330.591796875,-26.438209533691406
49,1610450772.3414857,78400,2060.316650390625,496.66668701171875,441.6404113769531,1645.06396484375,-26.38780975341797
50,1610450789.9371605,80000,2783.857421875,660.0,481.41375732421875,2328.836181640625,-26.392518997192383
51,1610450808.4299362,81600,2369.267822265625,490.0,395.63299560546875,2000.1705322265625,-26.53555679321289
52,1610450826.8729453,83200,77.39959716796875,nan,-590.8246459960938,694.5374145507812,-26.313173294067383
53,1610450845.4254353,84800,2793.697021484375,542.0,639.0362548828125,2181.20849609375,-26.54766273498535
54,1610450864.2379787,86400,4908.2333984375,710.0,2070.74169921875,2864.18505859375,-26.69333267211914
55,1610450883.0567782,88000,4460.71728515625,573.3333740234375,1760.651123046875,2726.87646484375,-26.81025505065918
56,1610450901.6226823,89600,437.766845703125,380.0,-910.270263671875,1374.852783203125,-26.8156681060791
57,1610450919.8577154,91200,2910.323486328125,435.0,783.849365234375,2153.5703125,-27.096158981323242
58,1610450937.6769092,92800,1964.6826171875,455.0,510.47222900390625,1481.38671875,-27.17627716064453
59,1610450955.3234487,94400,1991.623291015625,482.5,157.8675537109375,1860.784912109375,-27.029125213623047
60,1610450972.986283,96000,4011.6240234375,420.0,1478.31005859375,2560.0517578125,-26.737802505493164
61,1610450990.4839425,97600,1478.7474365234375,895.0,-29.36237335205078,1534.723388671875,-26.613576889038086
62,1610451008.0551288,99200,2120.550048828125,970.0,-120.3399658203125,2267.5107421875,-26.62076187133789
63,1610451025.7631097,100800,4313.94140625,486.66668701171875,1762.689697265625,2577.15185546875,-25.900253295898438
64,1610451043.6305585,102400,3614.73291015625,450.0,1351.224853515625,2289.333984375,-25.825950622558594
65,1610451061.243851,104000,3300.134765625,900.0,1096.4027099609375,2229.385009765625,-25.652738571166992
66,1610451078.991694,105600,4073.536376953125,1140.0,1887.9896240234375,2211.1103515625,-25.563793182373047
67,1610451096.7111464,107200,1687.585205078125,957.5,-201.72906494140625,1914.893310546875,-25.579078674316406
68,1610451114.4420364,108800,3610.764404296875,560.0,845.67919921875,2790.95361328125,-25.868358612060547
69,1610451131.8640528,110400,5962.32763671875,nan,3152.046875,2836.037109375,-25.75638198852539
70,1610451149.700491,112000,3267.442138671875,510.0,939.2490234375,2353.93798828125,-25.744840621948242
71,1610451167.0328496,113600,1440.3651123046875,730.0,-141.58319091796875,1607.659423828125,-25.71101188659668
72,1610451184.5482593,115200,3593.142578125,623.3333740234375,1353.1456298828125,2265.81591796875,-25.818754196166992
73,1610451202.3682573,116800,2450.868408203125,1320.0,702.52734375,1774.054443359375,-25.713340759277344
74,1610451219.9019122,118400,1449.4722900390625,725.0,10.96307373046875,1464.26025390625,-25.75112533569336
75,1610451237.434889,120000,3334.73583984375,673.3333740234375,776.384033203125,2584.319091796875,-25.967226028442383
76,1610451255.119851,121600,265.67498779296875,515.0,-1037.1595458984375,1328.68896484375,-25.854415893554688
77,1610451272.6913767,123200,5058.4306640625,300.0,2341.91796875,2742.283935546875,-25.771358489990234
78,1610451290.2204752,124800,3674.64892578125,420.0,1435.0494384765625,2265.2626953125,-25.663190841674805
79,1610451307.8817303,126400,856.9180908203125,465.0,-692.76123046875,1575.3551025390625,-25.675785064697266
80,1610451325.8116288,128000,3834.831787109375,690.0,1088.3680419921875,2771.95556640625,-25.49187469482422
81,1610451343.8583014,129600,5434.72509765625,617.5,2119.2216796875,3340.78076171875,-25.277313232421875
82,1610451361.626159,131200,4032.7724609375,606.6666870117188,1475.581787109375,2582.576416015625,-25.385847091674805
83,1610451379.5231774,132800,2549.724609375,506.66668701171875,931.0560302734375,1643.9705810546875,-25.30194091796875
84,1610451396.9726198,134400,2053.44921875,630.0,18.835891723632812,2059.80078125,-25.187484741210938
85,1610451414.7194116,136000,6011.09423828125,710.0,2799.611328125,3236.798828125,-25.31576919555664
86,1610451432.6414099,137600,1483.2569580078125,863.3333740234375,-57.07965087890625,1565.739501953125,-25.402936935424805
87,1610451450.3750885,139200,4261.25732421875,575.0,1533.681640625,2752.89013671875,-25.31464385986328
88,1610451468.082775,140800,2669.479248046875,570.0,580.812744140625,2114.036376953125,-25.369882583618164
89,1610451486.1006303,142400,1606.2677001953125,596.6666870117188,-453.7711181640625,2085.0029296875,-24.964168548583984
90,1610451503.8702683,144000,2522.61279296875,480.0,223.3619384765625,2324.26708984375,-25.01601791381836
91,1610451521.9469206,145600,6156.4150390625,295.0,2707.45849609375,3473.54345703125,-24.586864471435547
92,1610451539.3727846,147200,2944.2861328125,700.0,788.6455078125,2180.290283203125,-24.649765014648438
93,1610451557.2681062,148800,3291.051513671875,725.0,763.751708984375,2552.193359375,-24.893449783325195
94,1610451575.2951157,150400,2742.41552734375,493.3333435058594,635.137939453125,2132.17724609375,-24.89956283569336
95,1610451593.2317138,152000,2435.54443359375,460.0,799.3663940429688,1661.28564453125,-25.107669830322266
96,1610451611.0297964,153600,-145.09423828125,595.0,-1056.3367919921875,936.395263671875,-25.152711868286133
97,1610451628.806133,155200,1500.2447509765625,872.0,-239.26715087890625,1764.80029296875,-25.288408279418945
98,1610451646.8955133,156800,2539.308349609375,260.0,757.282470703125,1807.3563232421875,-25.33028793334961
99,1610451664.8702114,158400,2501.4462890625,460.0,452.16339111328125,2074.2783203125,-24.995389938354492
100,1610451682.502356,160000,4226.17919921875,586.0,1301.9681396484375,2948.947998046875,-24.736942291259766
101,1610451700.268638,161600,5575.771484375,750.0,2562.964111328125,3037.659423828125,-24.85214614868164
102,1610451717.998833,163200,846.15966796875,450.0,-665.8644409179688,1536.8662109375,-24.842111587524414
103,1610451735.6057582,164800,2113.91796875,390.0,65.39474487304688,2073.13427734375,-24.61099624633789
104,1610451753.3279169,166400,2891.30078125,590.0,616.934326171875,2299.1298828125,-24.76339340209961
105,1610451771.167603,168000,3549.405029296875,565.0,1123.45751953125,2450.68603515625,-24.73861312866211
106,1610451788.9455981,169600,2861.176513671875,520.0,535.017333984375,2350.84326171875,-24.68411636352539
107,1610451806.6332433,171200,4031.7177734375,720.0,1294.35107421875,2761.80029296875,-24.43367576599121
108,1610451824.341155,172800,2416.74267578125,810.0,746.9005737304688,1694.14208984375,-24.299951553344727
109,1610451842.2669625,174400,2307.10986328125,775.0,291.0461730957031,2040.1129150390625,-24.049421310424805
110,1610451860.4198945,176000,3637.511962890625,706.6666870117188,901.444580078125,2760.68017578125,-24.61277198791504
111,1610451878.0599313,177600,3776.776123046875,625.0,1302.24072265625,2498.74755859375,-24.212133407592773
112,1610451895.6122115,179200,2444.55322265625,nan,574.8565063476562,1893.8472900390625,-24.150671005249023
113,1610451912.988881,180800,2493.239990234375,668.3333740234375,-492.1141357421875,3009.46240234375,-24.108243942260742
114,1610451930.3835037,182400,3116.37158203125,910.0,915.50439453125,2224.95703125,-24.089746475219727
